date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:28:44	19633/19633	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2002:45:43%20GMT	https://athoi21.xyz/spero.html	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/spero.html	(from )
03:28:45	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Aug%202020%2000:28:45%20GMT	https://athoi21.xyz/robots.txt		(from )
03:28:45	140936/140936	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:56:57%20GMT	https://athoi21.xyz/assets/css/bootstrap.min.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/bootstrap.min.css	(from https://athoi21.xyz/spero.html)
03:28:45	17334/17334	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:56:57%20GMT	https://athoi21.xyz/assets/css/animate.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/animate.css	(from https://athoi21.xyz/spero.html)
03:28:45	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Benim%20Web%20Sitem/spero/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://athoi21.xyz/spero.html)
03:28:46	2405/2405	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:56:58%20GMT	https://athoi21.xyz/assets/css/meanmenu.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/meanmenu.css	(from https://athoi21.xyz/spero.html)
03:28:46	5259/5259	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:56:58%20GMT	https://athoi21.xyz/assets/css/magnific-popup.min.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/magnific-popup.min.css	(from https://athoi21.xyz/spero.html)
03:28:46	4817/4817	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:56:59%20GMT	https://athoi21.xyz/assets/css/owl.carousel.min.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/owl.carousel.min.css	(from https://athoi21.xyz/spero.html)
03:28:46	3249/3249	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:56:59%20GMT	https://athoi21.xyz/assets/css/odometer.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/odometer.css	(from https://athoi21.xyz/spero.html)
03:28:47	1330/1330	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:57:00%20GMT	https://athoi21.xyz/assets/css/slick.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/slick.css	(from https://athoi21.xyz/spero.html)
03:28:47	48273/48273	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:57:01%20GMT	https://athoi21.xyz/assets/css/style.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/style.css	(from https://athoi21.xyz/spero.html)
03:28:47	9590/9590	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:57:00%20GMT	https://athoi21.xyz/assets/css/responsive.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/responsive.css	(from https://athoi21.xyz/spero.html)
03:28:47	1069/1069	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2008:57:11%20GMT	https://athoi21.xyz/assets/js/counter.js	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/js/counter.js	(from https://athoi21.xyz/spero.html)
03:28:47	9426/9426	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jul%202020%2008:57:00%20GMT	https://athoi21.xyz/assets/css/steps-style.css	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/steps-style.css	(from https://athoi21.xyz/spero.html)
03:28:48	90815/90815	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2005%20Jul%202020%2008:57:05%20GMT	https://athoi21.xyz/assets/img/favicon2.ico	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/img/favicon2.ico	(from https://athoi21.xyz/spero.html)
03:28:57	446/446	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jul%202020%2008:57:00%20GMT	https://athoi21.xyz/assets/css/owl.video.play.html	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/css/owl.video.play.html	(from https://athoi21.xyz/assets/css/owl.carousel.min.css)
03:28:57	38101/38101	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2008:57:04%20GMT	https://athoi21.xyz/assets/img/banner-bg1.jpg	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/img/banner-bg1.jpg	(from https://athoi21.xyz/assets/css/style.css)
03:28:57	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Aug%202020%2000:28:58%20GMT	https://athoi21.xyz/assets/images/splash.jpg	C:/Benim%20Web%20Sitem/spero/athoi21.xyz/assets/images/splash.jpg	(from https://athoi21.xyz/assets/css/steps-style.css)
